,nome,ativo,classes,documento,classe_pred
25,venlaxin,cloridrato de venlafaxina,"Cápsula dura, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Venlaxin (cloridrato de venlafaxina) está indicado para: • Tratamento da depressão, incluindo depressão com ansiedade associada. • Prevenção de recaída e recorrência da depressão. • Tratamento de ansiedade ou transtorno de ansiedade generalizada (TAG), incluindo tratamento em longo prazo. • Tratamento do transtorno de ansiedade social (TAS), também conhecido como fobia social. • Tratamento do transtorno do pânico, com ou sem agorafobia, conforme definido no DSM-IV.",0
24,tada,tadalafila,,Tada (tadalafila) é indicado para o tratamento da disfunção erétil.,0
23,preni,PREDNISOLONA,"Comprimido, Venda sob prescrição médica, Prescrição Médica",Preni (prednisolona) é indicado como agente anti-inflamatório e imunossupressor em patologias cujos mecanismos fisiopatológicos envolvam processos inflamatórios e/ou autoimunes; para o tratamento de condições endócrinas (glândulas); e em composição de esquemas terapêuticos em algumas neoplasias.,0
308,cloridrato-de-bupropiona-12-horas,cloridrato de bupropiona,"Comprimido de Liberação Prolongada, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Genéricos","O cloridrato de bupropiona é um medicamento usado para tratar transtorno depressivo maior (TDM). A bupropiona também é usada para ajudar a parar de fumar. Entretanto, as informações desta bula são específicas para pacientes em tratamento de transtorno depressivo maior. Doses e demais instruções são diferentes para pacientes em tratamento para deixar de fumar.",0
46,lamotrigina,lamotrigina,"Comprimido, Anticonvulsivantes, Retenção - só pode ser vendido com retenção de receita, Genéricos","A lamotrigina é uma droga antiepilética (DAE), usada no tratamento de crises convulsivas parciais e crises generalizadas. Pode ser instituído como monoterapia (única droga do tratamento) ou em terapia combinada (associado a outras drogas antiepiléticas).",0
44,primera-30,desogestrel + etinilestradiol,"Comprimido, Anticoncepcionais, Venda sob prescrição médica",Anticoncepção.,0
48,omeprazol-sodico,omeprazol sódico,"Pó Liofilizado para Solução Injetável + Diluente, Antiulcerosos, Venda sob prescrição médica, Hospitalar","O omeprazol sódico está indicado quando a administração do omeprazol comprimido está impossibilitada, na presença de alguma das seguintes indicações: - úlcera péptica (erosão na parede) do estômago ou do duodeno; - esofagite de refluxo (inflamação do esôfago por líquido ácido proveniente do estômago); - síndrome de Zollinger-Ellison (doença causada por um tumor produtor de gastrina, um hormônio que aumenta a produção de ácido pelo estômago e favorece o aparecimento de múltiplas úlceras); - prevenção de aspiração do conteúdo gástrico durante a anestesia geral em pacientes de risco.",0
270,gesico-retard,Cloridrato de tramadol,"Solução, Analgésicos Narcóticos, Retenção - só pode ser vendido com retenção de receita",Gésico Retard (cloridrato de tramadol) é indicado para tratamento da dor de intensidade moderada a grave.,0
1,floripa-1,Probiótico BB12 (Bifidobacterium animalis subsp. lactis),"Solução Gotas, Medicamento isento de prescrição, Isento de Prescrição","Suplemento alimentar de Bifidobacterium animalis subsp. lactis, BB-12 (DSM 15954) em solução gotas, que contribui com a saúde do trato gastrointestinal",0
69,tramadol-cloridrato-de-2,cloridrato de tramadol,"Solução, Analgésicos Narcóticos, Retenção - só pode ser vendido com retenção de receita, Genéricos",PARA QUE ESTE MEDICAMENTO É INDICADO? O cloridrato de tramadol é indicado para o alívio da dor de intensidade moderada a grave,0
271,clonazepam,clonazepam,"Comprimido Revestido, Anticonvulsivantes, Venda sob prescrição médica. O abuso deste medicamento pode causar dependência, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  Adulto e pediátrico Distúrbio epiléptico O clonazepam é indicado para tratar crises epilépticas e espasmos infantis (Síndrome de West). Adulto O clonazepam também é indicado para: Transtornos de ansiedade • Como ansiolítico em geral. • Distúrbio do pânico com ou sem medo de espaços abertos. • Fobia social (medo de situações como falar em público). Transtornos do humor • Transtorno afetivo bipolar (fases de depressão e mania): tratamento da mania. • Depressão maior: associado a antidepressivos na depressão ansiosa e início do tratamento. Síndromes psicóticas • Acatisia (inquietação extrema, geralmente provocada por medicamentos psiquiátricos). Síndrome das pernas inquietas (desconforto ou dor nas pernas que leva a necessidade de movimentá-las, prejudicando o sono). Vertigem e distúrbios do equilíbrio: náuseas, vômitos, desmaios, quedas, zumbidos e distúrbios auditivos. Síndrome da boca ardente (sensação de queimação na parte interna da boca, sem alterações físicas).",0
356,citalopram,citalopram,"Comprimido Revestido, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Genéricos","Este medicamento é usado para tratar a depressão, e após a melhora, para prevenir a recorrência desses sintomas. Bromidrato de citalopram é usado em tratamentos de longo prazo para prevenir a recorrência de novos episódios depressivos em pacientes que tem depressão recorrente. Este medicamento é eficaz também para o tratamento de pacientes com transtorno do pânico e para o tratamento do transtorno obsessivo compulsivo (TOC). Entretanto, seu médico pode prescrever bromidrato de citalopram para outros propósitos. Pergunte ao seu médico se você tiver dúvidas sobre porque bromidrato de citalopram lhe foi prescrito.  ESTE MEDICAMENTO NÃO DEVE SER UTILIZADO POR MULHERES GRÁVIDAS SEM ORIENTAÇÃO MÉDICA OU DO CIRURGIÃO-DENTISTA.",0
276,quetiapina-hemifumarato-de,hemifumarato de quetiapina,"Comprimido Revestido de Liberação Prolongada, Antipsicóticos, Retenção - só pode ser vendido com retenção de receita, Genéricos","O hemifumarato de quetiapina está indicado para: • Tratamento da esquizofrenia; • Como monoterapia ou adjuvante no tratamento dos episódios de mania e de depressão associados ao transtorno afetivo bipolar; • O alívio dos sintomas do transtorno depressivo maior, em terapia adjuvante com outro antidepressivo, quando outros medicamentos antidepressivos tenham falhado. Embora não haja evidência de que a eficácia de hemifumarato de quetiapina comprimido revestido de liberação prolongada isoladamente seja superior a outros antidepressivos, quando usado em terapia adjuvante, ele oferece uma opção de tratamento para pacientes que não responderam a tratamentos antidepressivos anteriores. Antes de iniciar o tratamento, os médicos devem considerar o perfil de segurança de hemifumarato de quetiapina comprimido revestido de liberação prolongada.",0
3,bicerto,cetoprofeno,Prescrição Médica,"Bicerto (cetoprofeno) é um medicamento que possui atividade anti-inflamatória, analgésica e antitérmica e está indicado para o tratamento de: - Processos otorrinolaringológicos: sinusites, otites, faringites, laringites, amigdalites; - Processos ginecológicos-obstétricos: anexites, parametrites, endometrites, dismenorreia; - Processos urológicos: cólica nefrética, orquiepididimites, prostatites; - Processos odontológicos: periodontites, pulpites, abscessos, extrações dentárias; - Processos reumáticos: artrite reumatoide, espondilite anquilosante, gota, condrocalcinose, reumatismo psoriático, síndrome de Reiter, pseudo-artrite, lúpus eritematoso sistêmico, esclerodermia, periarterite nodosa, osteoartrite, periartrite escápulo-umeral, bursites, capsulites, sinovites, tenossinovites, tendinites, epicondilites; - Lesões ortopédicas: contusões e esmagamentos, fraturas, entorses, luxações; - Algias diversas: nevralgia cérvico-braquial, cervicalgia, lombalgia, dor ciática, pós-operatórios diversos, enxaqueca com ou sem aura (sintomas que precedem à enxaqueca e que variam consideravelmente entre os pacientes afetando principalmente, a visão e a audição).",0
280,acetilcisteina-xarope-120ml,acetilcisteína,"Xarope, Expectorantes Balsâmicos e Mucolíticos, Medicamento isento de prescrição, Genéricos","Este é um medicamento expectorante indicado quando se tem dificuldade para expectorar e há muita secreção densa e viscosa, tais como bronquite aguda, bronquite crônica e suas exacerbações (piora do quadro clínico e complicações), enfisema pulmonar (doença crônica caracterizada pelo comprometimento dos pulmões), pneumonia (inflamação nos pulmões e brônquios), colapso/atelectasias pulmonares (fechamento dos brônquios) e mucoviscidose (doença hereditária que produz muco espesso, também conhecida por fibrose cística). Também é indicado para intoxicação acidental ou voluntária por paracetamol.",0
63,dejavu,(citrato de sildenafila),"Comprimido Revestido, Vasodilatadores, Venda sob prescrição médica, Prescrição Médica","Dejavú® (citrato de sildenafila) está indicado para o tratamento da disfunção erétil, que se entende como sendo a incapacidade de atingir ou manter uma ereção suficiente para um desempenho sexual satisfatório. Para que Dejavú® (citrato de sildenafila) seja eficaz, é necessário estímulo sexual.",0
355,levetiracetam-1,levetiracetam,"Comprimido Revestido, Anticonvulsivantes, Venda sob prescrição médica, Genéricos","Este medicamento é indicado como monoterapia (não combinado com outros medicamentos antiepilépticos) para o tratamento de crises focais/parciais, com ou sem generalização secundária, em pacientes com 16 anos ou mais e diagnóstico recente de epilepsia. O levetiracetam é indicado como terapia adjuvante (utilizado com outros medicamentos antiepilépticos) para o tratamento de: - Crises focais/parciais, com ou sem generalização, em adultos, adolescentes e crianças com idade superior a 6 anos, com epilepsia; - Crises mioclônicas em adultos, adolescentes e crianças com idade superior a 12 anos, com epilepsia mioclônica juvenil; - Crises tônico-clônicas primárias generalizadas em adultos, adolescentes e crianças com mais de 6 anos de idade com epilepsia idiopática generalizada. Para bebês e crianças com menos de 20 kg, o tratamento deve ser preferencialmente iniciado com leveticaretam solução oral.",0
284,maqderma,"Composição: Vitamina D3, Vitamina B1 (Tiamina), Vitamina B3 (Niacina), Vitamina B5 (Ac. Pantotênico), Vitamina B6 (Piridoxina), Vitamina H (Biotina), Vitamina B9 (Ácido Fólico), Vitamina B12 (Cianocobalamina), Colina (Bitartarato), Zinco (Bisglicinato), Cobre (Bisglicinato), Selênio (Metionina).",Isento de Prescrição,Recomendação de uso: uso adulto - Ingestão diária recomendada: 1 cápsula por dia,0
304,maleato-de-trimebutina,maleato de trimebutina,"Cápsula mole, Antiespasmódicos, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO? Este medicamento é destinado ao tratamento de alterações do funcionamento da coordenação de contração do aparelho digestivo. Estas alterações podem estar relacionadas ao movimento contrário do ácido do estômago e esôfago (refluxo gastresofágico, que causa azia), dificuldade de esvaziamento do estômago (empachamento), aumento da motilidade intestinal (diarreia), diminuição da motilidade intestinal (prisão de ventre) e dor causada por contrações não coordenadas no intestino (cólicas intestinais). Tais situações são comuns a várias doenças como dispepsia (conjunto de sintomas relacionados ao trato gastrintestinal superior, como dor, queimação ou desconforto na região superior do abdômen, que podem estar associados à saciedade precoce, empachamento pós-prandial, náuseas, vômitos, sensação de distensão abdominal, cujo aparecimento ou piora dos sintomas pode ou não estar relacionado à alimentação ou ao estresse), síndrome do intestino irritável (provoca dor abdominal, constipação, diarreia e cãibras) e constipação (prisão de ventre), entre outras, e seu médico pode esclarecer melhor o seu diagnóstico.",0
287,cetoprofeno-solucao-oral-gotas,cetoprofeno,"Solução Gotas, Venda sob prescrição médica, Genéricos","O cetoprofeno gotas é um medicamento anti-inflamatório, analgésico e antitérmico, sendo indicado para o tratamento de inflamações e dores decorrentes de processos reumáticos (doenças que podem afetar músculos, articulações e esqueleto), traumatismos (lesão interna ou externa resultante de um agente externo) e de dores em geral.",0
58,cloridrato-de-bupropiona,cloridrato de bupropiona,"Comprimido de Liberação Prolongada, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO? O cloridrato de bupropiona é um medicamento usado para tratar transtorno depressivo maior (TDM). A bupropiona também é usada para ajudar a parar de fumar. Entretanto, as informações desta bula são específicas para pacientes em tratamento de transtorno depressivo maior. Doses e demais instruções são diferentes para pacientes em tratamento para deixar de fumar.",0
7,alprazolam,alprazolam,"Comprimido, Ansiolíticos Simples, Venda sob prescrição médica. O abuso deste medicamento pode causar dependência, Genéricos","O alprazolam é indicado no tratamento de transtornos de ansiedade. Não deve ser administrado como substituição ao tratamento apropriado de psicose (quadro de delírios e alucinações). Os sintomas de ansiedade podem incluir de forma variável: tensão, medo, apreensão, intranquilidade, dificuldade de concentração, irritabilidade, insônia (dificuldade para dormir) e/ou hiperatividade neurovegetativa (respiração curta e superficial, sufocação, palpitações ou aumento dos batimentos do coração, mãos frias e suadas, boca seca, tontura, enjoo, diarreia, gases, rubores (vermelhidão no rosto), calafrios, necessidade de urinar mais vezes, dificuldades de engolir, mudanças no tom de voz, etc.), resultando em manifestações corporais variadas. O alprazolam também é indicado no tratamento dos transtornos de ansiedade associados a outras condições, como a abstinência ao álcool, no tratamento do transtorno do pânico, com ou sem agorafobia (medo de estar em espaços abertos ou no meio da multidão), cuja principal característica é a crise de ansiedade inesperada com um ataque repentino de apreensão intensa, terror ou medo.",0
302,esc,oxalato de escitalopram,"Comprimido, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","O Esc® (oxalato de escitalopram) é indicado para: • Tratamento e prevenção da recaída ou recorrência da depressão; • Tratamento do transtorno do pânico, com ou sem agorafobia; • Tratamento do transtorno de ansiedade generalizada (TAG); • Tratamento do transtorno de ansiedade social (fobia social); • Tratamento do transtorno obsessivo compulsivo (TOC).",0
352,quet,hemifumarato de quetiapina,Prescrição Médica,"Em adultos, Quet®️ (hemifumarato de quetiapina) é indicado para o tratamento da esquizofrenia, como monoterapia ou adjuvante no tratamento dos episódios de mania associados ao transtorno afetivo bipolar, dos episódios de depressão associados ao transtorno afetivo bipolar, no tratamento de manutenção do transtorno afetivo bipolar I (episódios maníaco, misto ou depressivo) em combinação com os estabilizadores de humor lítio ou valproato, e como monoterapia no tratamento de manutenção no transtorno afetivo bipolar (episódios de mania, mistos e depressivos). Em adolescentes (13 a 17 anos), Quet (hemifumarato de quetiapina) é indicado para o tratamento da esquizofrenia. Em crianças e adolescentes (10 a 17 anos), Quet (hemifumarato de quetiapina) é indicado como monoterapia ou adjuvante no tratamento dos episódios de mania associados ao transtorno afetivo bipolar.",0
288,drospirenona-etinilestradiol,drospirenona + etinilestradiol,"Comprimido Revestido, Anticoncepcionais, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO? Este medicamento é utilizado para prevenir a gravidez. Este medicamento proporciona também benefícios adicionais: melhora dos sintomas associados à retenção de líquido, como distensão abdominal (aumento do volume do abdome), inchaço ou ganho de peso; melhora da acne e redução do excesso de oleosidade da pele e dos cabelos.",0
295,domperix-suspensao-oral,domperidona,"Suspensão, Venda sob prescrição médica, Prescrição Médica","Este medicamento é destinado ao tratamento de: • Síndromes dispépticas frequentemente associadas a um retardo de esvaziamento gástrico, refluxo gastroesofágico e esofagite: - sensação de empachamento epigástrico, saciedade precoce, distensão abdominal, dor abdominal alta; - eructação, flatulência; - náuseas e vômitos; - azia, queimação epigástrica com ou sem regurgitação de conteúdo gástrico. • Náuseas e vômitos de origem funcional, orgânica, infecciosa ou alimentar ou induzidas por radioterapia ou tratamento medicamentoso (anti-inflamatórios, antineoplásicos). Uma indicação específica são as náuseas e vômitos induzidos pelos agonistas dopaminérgicos usados no tratamento da Doença de Parkinson como a L-dopa e bromocriptina.",0
297,don-10mg,cloridrato de donepezila,"Comprimido Revestido, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Don (cloridrato de donepezila) é indicado para o tratamento sintomático da demência de Alzheimer de intensidade leve, moderadamente grave e grave. O diagnóstico da demência de Alzheimer deve ser realizado de acordo com os critérios científicos aceitos, como DSM IV, ICD10.",0
293,desogestrel-etinilestradiol-30mg,desogestrel + etinilestradiol,"Comprimido, Anticoncepcionais, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  O desogestrel + etinilestradiol é um anticoncepcional, ou seja, é usado para impedir que você fique grávida. Quando usado corretamente (sem esquecimento), a possibilidade de engravidar é muito baixa.  Gravidez Este medicamento é contraindicado para uso durante a gravidez ou suspeita de gravidez. Este medicamento causa malformação ao bebê durante a gravidez. Desogestrel + etinilestradiol não deve ser utilizado por mulheres grávidas ou que pensam que possam estar grávidas. Informe seu médico imediatamente se você suspeitar de gravidez durante o uso de desogestrel + etinilestradiol.",0
345,alta-d-gotas,,"Solução Gotas, Vitaminas, Isento de Prescrição","AltaD gotas é um suplemento de vitamina D em gotas que contribui com o funcionamento normal do sistema imune. A vitamina D também auxilia no funcionamento muscular, na formação e manutenção dos ossos e dentes, pois auxilia na absorção de cálcio e fósforo.",1
190,rosuvastatina-calcica,rosuvastatina,"Comprimido Revestido, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO? Este medicamento deve ser usado como auxiliar a dieta quando a resposta à dieta e aos exercícios é inadequada. Em pacientes adultos com hipercolesterolemia (nível elevado de colesterol no sangue) rosuvastatina cálcica é indicada para: • Redução dos níveis de LDL-colesterol, colesterol total e triglicérides elevados; aumento do HDL-colesterol em pacientes com hipercolesterolemia primária (familiar heterozigótica e não familiar) e dislipidemia mista (níveis elevados ou anormais de lipídios no sangue) (Fredrickson tipos IIa e IIb). Este medicamento também diminui ApoB, não-HDL-C, VLDL-C, VLDL-TG, e as razões LDL-C/HDL-C, Ctotal/ HDL-C, não-HDL-C/HDL-C, ApoB/ApoA-I e aumenta ApoA-I nestas populações. • Tratamento da hipertrigliceridemia isolada (nível elevado de triglicérides no sangue) (hiperlipidemia de Fredrickson tipo IV). • Redução do colesterol total e LDL-C em pacientes com hipercolesterolemia familiar homozigótica, tanto isoladamente quanto como auxiliar à dieta e a outros tratamentos para redução de lipídios (por ex.: aférese de LDL), se tais tratamentos não forem suficientes. • Retardamento ou redução da progressão da aterosclerose (acúmulo de gordura nas paredes dos vasos sanguíneos). Crianças e adolescentes de 6 a 17 anos de idade A rosuvastatina cálcica é indicada para redução do colesterol total, LDL-C e ApoB em pacientes com hipercolesterolemia familiar heterozigótica (HeFH).",1
169,zart,losartana potássica,"Comprimido Revestido, Anti-hipertensivos, Venda sob prescrição médica","Hipertensão Zart® (losartana potássica) é indicado para o tratamento da hipertensão. Zart® (losartana potássica) é também indicado para o tratamento da insuficiência cardíaca, quando o tratamento com inibidor da ECA não é mais considerado adequado. Não é recomendado trocar inibidores da ECA por Zart® (losartana potássica) no tratamento de pacientes com insuficiência cardíaca que estejam estabilizados com a terapia atual. Redução do risco de morbidade e mortalidade cardiovasculares em pacientes hipertensos com hipertrofia ventricular esquerda. Zart® (losartana potássica) é indicado para reduzir o risco de morbidade e mortalidade cardiovasculares avaliado com base na incidência combinada de morte cardiovascular, acidente vascular cerebral e infarto do miocárdio em pacientes hipertensos com hipertrofia ventricular esquerda (ver item 2. RESULTADOS DE EFICÁCIA – Raça). Proteção renal em pacientes com diabetes tipo 2 e proteinúria Zart® (losartana potássica) é indicado para retardar a progressão da doença renal, retardo avaliado com base na redução da incidência combinada de duplicação da creatinina sérica, insuficiência renal terminal (necessidade de diálise ou transplante renal) ou morte, e para reduzir a proteinúria.",1
354,valsartana,valsartana,"Comprimido Revestido, Vasodilatadores, Anti-hipertensivos, Venda sob prescrição médica, Genéricos","Este medicamento é utilizado para os tratamentos de pressão alta, insuficiência cardíaca e pós-infarto do miocárdio em pacientes recebendo terapêutica usual. Este medicamento é usado para tratar a pressão arterial elevada. A pressão arterial elevada aumenta a carga de trabalho do coração e artérias. Se isto continuar por muito tempo, pode danificar os vasos sanguíneos do cérebro, coração e rins, e pode resultar em um acidente vascular cerebral, insuficiência cardíaca ou insuficiência renal. A pressão arterial elevada aumenta o risco de ataques cardíacos. A redução da pressão arterial para valores normais diminui o risco de desenvolvimento destas doenças. A valsartana também é usada para tratar a insuficiência cardíaca. A insuficiência cardíaca está associada à falta de ar e inchaço dos pés e pernas devido ao acúmulo de fluidos. A insuficiência cardíaca ocorre quando o músculo do coração não consegue bombear o sangue com força suficiente para abastecer o corpo. A valsartana pode também ser usada para tratar pessoas que sofreram um ataque cardíaco (infarto do miocárdio) para melhorar a sobrevida e reduzir problemas cardíacos.",1
353,tadalafila-5mg,Tadalafila,"Comprimido Revestido, Vasodilatadores, Venda sob prescrição médica, Genéricos",PARA QUE ESTE MEDICAMENTO É INDICADO?  Tadalafila é indicado para o tratamento da disfunção erétil (DE). Tadalafila é indicado para o tratamento dos sinais e sintomas da hiperplasia prostática benigna (HPB) em homens adultos incluindo aqueles com disfunção erétil.,1
172,ruva,rosuvastatina cálcica,"Comprimido Revestido, Antilipêmicos, Venda sob prescrição médica, Prescrição Médica","Ruva (rosuvastatina cálcica) deve ser usado como adjuvante à dieta quando a resposta à dieta e aos exercícios é inadequada. Em pacientes adultos com hipercolesterolemia rosuvastatina cálcica é indicada para: • Redução do LDL-colesterol, colesterol total e triglicérides elevados; aumento do HDL-colesterol em pacientes com hipercolesterolemia primária (familiar heterozigótica e não familiar) e dislipidemia mista (Fredrickson tipos IIa e IIb). A rosuvastatina cálcica também diminui ApoB, não-HDL-C, VLDL-C, VLDL-TG, e as razões LDLC/HDL-C, C-total/HDL-C, não-HDL-C/HDL-C, ApoB/ApoA-I e aumenta ApoA-I nestas populações. • Tratamento da hipertrigliceridemia isolada (hiperlipidemia de Fredrickson tipo IV). • Redução do colesterol total e LDL-C em pacientes com hipercolesterolemia familiar homozigótica, tanto isoladamente quanto como um adjuvante à dieta e a outros tratamentos de redução de lipídios (por ex.: aférese de LDL), se tais tratamentos não forem suficientes. • Retardamento ou redução da progressão da aterosclerose. Crianças e adolescentes de 6 a 17 anos de idade Ruva (rosuvastatina cálcica) é indicado para redução do colesterol total, LDL-C e ApoB em pacientes com hipercolesterolemia familiar heterozigótica (HeFH).",1
349,maq,,"Medicamento isento de prescrição, Isento de Prescrição, Alimento e Suplemento Alimentar",MAQ é uma fórmula nutricional de última geração que alia minerais aminoácidos quelatados como o Ferrochel e alto teor de vitaminas. Recomendado para homens e mulheres em diferentes faixas etárias como coadjuvante alimentar e complementar em dietas irregulares ou deficientes.,1
336,feminis,"Óleo de peixe (veículo), mix de vitaminas e minerais (acetato de retinila, cloridrato de cloreto de tiamina, riboflavina, nicotinamida, D-pantotenato de cálcio, cloridrato de piridoxina, D-biotina, ácido fólico, cianocobalamina, ácido L-ascórbico, colecalciferol, DL alfa tocoferol, bisglicinato ferroso, óxido de zinco, sulfato de manganês, sulfato de cobre, iodeto de potássio, molibdato de sódio, picolinato de cromo e selenometionina), maltodextrina (veículo), água (veículo), gelficante gelatina, estabilizantes sorbitol e glicerina, emulsificante lecitina de soja, glaceante cera de abelha e corantes clorofila cúprica, carmim, óxido de ferro preto e dióxido de titânio.","Cápsula dura, Isento de Prescrição","Feminis foi cuidadosamente reformulado para que sua combinação exclusiva de vitamina, minerais quelatados e ômega-3 (DHA + EPA) atenda adultos, gestantes e lactantes. Sua nova formulação apresenta alto teor de ácido fólico (L-metilfolato) e mais dois minerais quelatados além do  ferro e do selênio: cobre e zinco. O DHA (ômega-3), na dose de 200 mg, mais seus 20 nutrientes essenciais atuam em sinergismo para o máximo aproveitamento do organismo.",1
350,vartaz,valsartana,"Comprimido Revestido, Anti-hipertensivos, Venda sob prescrição médica","Tratamento da hipertensão arterial. Tratamento de insuficiência cardíaca (classes II a IV da NYHA) em pacientes recebendo tratamento padrão tais como diuréticos, digitálicos e também inibidores da enzima de conversão da angiotensina (ECA) ou betabloqueadores, mas não ambos; a presença de todas estas terapêuticas padronizadas não é obrigatória. Vartaz (valsartana) melhora a morbidade nesses pacientes, principalmente através da redução da hospitalização por insuficiência cardíaca. Vartaz (valsartana) retarda também a progressão da insuficiência cardíaca, melhora a classe funcional da NYHA, a fração de ejeção, os sinais e sintomas da insuficiência cardíaca e melhora a qualidade de vida versus o placebo (vide item 3. CARACTERÍSTICAS FARMACOLÓGICAS). Vartaz (valsartana) é indicado para melhorar a sobrevida após infarto do miocárdio em pacientes clinicamente estáveis com sinais, sintomas ou evidência radiológica de insuficiência ventricular esquerda e/ou com disfunção sistólica ventricular esquerda (vide item 3. CARACTERÍSTICAS FARMACOLÓGICAS).",1
333,cloridrato-de-propafenona,cloridrato de propafenona,"Comprimido Revestido, Antiarrítmicos, Venda sob prescrição médica, Genéricos",Cloridrato de propafenona é indicado para o tratamento das alterações do ritmo cardíaco.,1
214,perivasc,diosmina + hesperidina,"Comprimido Revestido, Antivaricosos de ação sistêmica, Venda sob prescrição médica, Prescrição Médica","Perivasc® (diosmina + hesperidina) é indicado: • Para o tratamento das manifestações da insuficiência venosa crônica, funcional e orgânica dos membros inferiores (tais como varizes e varicosidades, edema e sensação de peso nas pernas, sequelas de tromboflebites, estados pré-ulcerosos, úlceras varicosas, úlceras de estase e edemas pós-traumáticos); • Para o tratamento dos sintomas funcionais relacionados à insuficiência venosa do plexo hemorroidário; • Para a prevenção da hemorragia pós hemorroidectomia. • Para o alívio dos sinais e sintomas pré e pós-operatórios de safenectomia; • Para o alívio da dor pélvica crônica associada à Síndrome da Congestão Pélvica.",1
331,suganon-evoglipitina-1,TARTARATO DE EVOGLIPTINA,"Comprimido Revestido, Antidiabéticos, Venda sob prescrição médica, Prescrição Médica",SUGANON é indicado como adjuvante à dieta e exercício para melhorar o controle glicêmico em pacientes com diabetes mellitus tipo 2.,1
263,betes,Glimepirida,"Comprimido, Antidiabéticos, Venda sob prescrição médica, Prescrição Médica","Betes®(glimepirida) é indicado para o tratamento oral de diabetes mellitus não insulino-dependente (Tipo 2 ou diabetes do adulto), quando os níveis de glicose não podem ser adequadamente controlados por meio de dieta alimentar, exercícios físicos e redução de peso. Betes®(glimepirida) pode ser associado a outros antidiabéticos orais que não estimulam a secreção de insulina. Betes®(glimepirida) pode ser associado a metformina quando os níveis glicêmicos não podem ser adequadamente controlados por meio de dieta alimentar, exercícios físicos e uso de Betes®(glimepirida) ou metformina em monoterapia. Betes®(glimepirida) também pode ser utilizado em associação com insulina (vide item 8. POSOLOGIA E MODO DE USAR).",1
273,maqsenior,"citrato malato de cálcio, bisglicinato de magnésio, malato dicálcio, malato dimagnésio, ácido ascórbico, bisglicinato de zinco, molibdato de sódio, niacinamida, bisglicinato de manganês, succinato ácido de dl-alfa-tocoferol, bisglicinato cúprico, d-pantotenato de cálcio, selenito de sódio, beta caroteno, biotina, ácido fólico, colecalciferol, piridoxina hcl, riboflavina, tiamina mononitrato, picolinato de cromo, iodeto de potássio, cianocobalamina. Aditivos: estabilizantes celulose microcristalina, croscarmelose sódica, hipromelose, etilcelulose, triacetina, estearato de magnésio, dióxido de silício e corantes dióxido de titânio, óxido de ferro vermelho, óxido de ferro amarelo e óxido de ferro marrom.",Isento de Prescrição,MAQ SÊNIOR é uma fórmula nutricional de última geração que alia minerais aminoácidos quelatados como o Bisglicinato de Zinco e alto teor de vitaminas. Recomendado para homens e mulheres como coadjuvante alimentar e complementar em dietas irregulares ou deficientes. É sabido que o declínio natural das funções fisiológicas com a idade leva à menor eficiência na absorção e no metabolismo dos nutrientes .,1
278,rebrive,sugamadex sódico,"Solução Injetável, Venda sob prescrição médica, Hospitalar","Rebrive® (sugamadex sódico) é usado para acelerar a recuperação de seus músculos dos efeitos dos relaxantes musculares após uma cirurgia, quando o relaxante muscular utilizado for o brometo de rocurônio ou o brometo de vecurônio.",1
